mb,rmse,mae,corr,ll,calib95,CRPS,ICI
-2.8094081727658704e-08,1.2323755527177127e-07,9.731319039474329e-08,-0.11092229872684675,5.988816261291504,1.0,0.00023369498376268893,0.5
8.997639966423776e-09,1.0094718305708739e-07,7.853084582620795e-08,0.39388248566089806,5.988816261291504,1.0,0.00023369498376268893,0.5
4.0273956614100825e-08,9.756593044585316e-08,7.858370310032115e-08,0.08321971682851312,5.988816261291504,1.0,0.00023369498376268893,0.5
-2.6605130543089217e-08,1.4006865001192637e-07,1.1406294930793592e-07,0.41160255622006525,5.988816261291504,1.0,0.00023369499831460416,0.5
